	Тип библиотеки	Электронный каталог	Изба-читальня	Дата открытия	Размер фонда	Уверенность в фонде
469				29 января 1900		
470						
471						
472						
473						
474						
475					26000000	1
476			0		300	1
477						
478						
479						
480					26000	1
481			0			
482				1954		
483			1			
484					4500	1
485						
486				1 августа 1951		
487				1948		
488				феврале 1981	11140	1
489				1945		
490				1967		
491				1980		
492			0			
493						
494				2007		
495				1955		
496				1 сентября 1953		
497				20 января 1963		
498						
499						
500						
501						
502						
503				мае 1953		
504			0			
505						
506						
507				1952		
508						
509						
510	универсальная	opac.nekrasovka.ru/vmk/				
511						
512						
513						
514			0			
515						
516						
517						
518						
519				15 октября 1902		
520						
521				январе 1979		
522						
523			0	1932	11341	1
524			0			
525						
526						
527			0	1936	9140	1
528					11000	1
529			0			
530						
531						
532						
533				1930		
534						
535				октябре 1973		
536			0	1935	17000	1
537			0		12282	1
538					11000	1
539					2015	0
540						
541						
542						
543						
544						
545						
546						
547						
548						
549						
550				1953		
551			0	1938		
552						
553						
554				2010		
555				18 октября 2004		
556						
557						
558						
559			0			
560						
561				1976	10000	1
562						
563						
564						
565						
566			0	1950	1000	1
567						
568					24000	1
569						
570				1974		
571						
572						
573			0		14500000	1
574			0	1969	2000	1
575						
576			1	1932		
577						
578				1962	14299	1
579						
580					32700	1
581				1962		
582						
583						
584				1 января 1969	150	1
585				1949		
586						
587						
588						
589						
590						
591				30 июня 1981		
592				1963		
593						
594						
595				1973		
596					61888	1
597				1985	22000	1
598				1 сентября 1995		
599				1964		
600			0			
601				1930		
602						
603						
604						
605						
606						
607			0		133000	1
608						
609				апреле 1984		
610						
611						
612						
613						
614						
615						
616					70000	1
617						
618						
619						
620						
621						
622						
623					51000	1
624				августе 1969		
625						
626						
627						
628						
629				марте 1976		
630			0	1943		
631				25 февраля 1980		
632					7212	1
633				1960		
634						
635				1949		
636				1973		
637						
638				1981		
639						
640				20 января 2012		
641				1991		
642				1946		
643						
644			0			
645						
646						
647						
648					7491	1
649			0			
650						
651						
652				1947		
653						
654						
655						
656			0			
657			0	1953		
658				1950	13000	1
659				1952		
660						
661				1947	20805	1
662				1955		
663						
664					14713	1
665				1975	22561	1
666				1940	10238000	1
667						
668				1949		
669				1985		
670				1953		
671						
672				1972	150000	1
673				1952		
674				2004	10077	1
675				1 января 1969	16876	1
676					24500	1
677				1968		
678				1901		
679				1956		
680			0			
681						
682						
683					60000	1
684						
685						
686						
687						
688						
689						
690				1901		
691						
692						
693				1900		
694						
695						
696						
697						
698				1946	1675	1
699						
700			0	1926	5000	1
701			0	1918		
702						
703				1957		
704			0			
705				1990		
706						
707						
708			0			
709				1927		
710					34000	1
711					2290000	1
712				1990		
713						
714			0			
715				1947	150000	0
716						
717					160000	1
718						
719						
720						
721				1949		
722					145380	1
723				1949		
724						
725					25503	1
726				1955		
727						
728				1960		
729			0	1926		
730						
731						
732				12 апреля 1966		
733						
734						
735						
736						
737						
738						
739						
740						
741						
742						
743				март 1915		
744						
745				1958		
746				1989		
747				1930		
748						
749						
750						
751				1955		
752			0	1904		
753						
754			0		6800	1
755						
756					58000	1
757				1966	21196	1
758				1976	35000	1
759				1 марта 1920	46000	1
760						
761				1961	22000	1
762				1931	65146000	1
763					36000	1
764					33000	1
765					58000	1
766				1973	68000	1
767					56000	1
768				марте 1969	36000	1
769				12 апреля 1967	46304	0
770				1964		
771						
772					50000	1
773				25 декабря 1965		
774						
775						
776						
777						
778						
779				1945		
780					70000	1
781					51051	1
782						
783						
784				1949		
785						
786				1 августа 1955		
787						
788						
789						
790						
791				1 февраля 1995		
792	универсальная	opac.nekrasovka.ru/vmk/		1995		
793						
794	универсальная	opac.nekrasovka.ru/opacg2/?bibl				
795			0			
796						
797				1952	30000	1
798						
799	взрослая	opac.nekrasovka.ru/opacg2/?bibl				
800						
801	универсальная	opac.nekrasovka.ru/vmk/				
802	универсальная	opac.nekrasovka.ru/vmk/				
803				1990		
804				1988		
805			0	1911		
806				1981		
807				июль 1955		
808						
809			0			
810						
811						
812			0			
